Transaction ID,Customer ID,Date,Age,Gender,Product Category,Quantity,Price per Unit,Total Amount
1,CUST001,2023-11-24 00:00:00,34,Male,Beauty,3,50,150
2,CUST002,2023-02-27 00:00:00,26,Female,Clothing,2,500,1000
3,CUST003,2023-01-13 00:00:00,50,Male,Electronics,1,30,30
4,CUST004,2023-05-21 00:00:00,37,Male,Clothing,1,500,500
5,CUST005,2023-05-06 00:00:00,30,Male,Beauty,2,50,100
6,CUST006,2023-04-25 00:00:00,45,Female,Beauty,1,30,30
7,CUST007,2023-03-13 00:00:00,46,Male,Clothing,2,25,50
8,CUST008,2023-02-22 00:00:00,30,Male,Electronics,4,25,100
9,CUST009,2023-12-13 00:00:00,63,Male,Electronics,2,300,600
10,CUST010,2023-10-07 00:00:00,52,Female,Clothing,4,50,200
11,CUST011,2023-02-14 00:00:00,23,Male,Clothing,2,50,100
12,CUST012,2023-10-30 00:00:00,35,Male,Beauty,3,25,75
13,CUST013,2023-08-05 00:00:00,22,Male,Electronics,3,500,1500
14,CUST014,2023-01-17 00:00:00,64,Male,Clothing,4,30,120
15,CUST015,2023-01-16 00:00:00,42,Female,Electronics,4,500,2000
16,CUST016,2023-02-17 00:00:00,19,Male,Clothing,3,500,1500
17,CUST017,2023-04-22 00:00:00,27,Female,Clothing,4,25,100
18,CUST018,2023-04-30 00:00:00,47,Female,Electronics,2,25,50
19,CUST019,2023-09-16 00:00:00,62,Female,Clothing,2,25,50
20,CUST020,2023-11-05 00:00:00,22,Male,Clothing,3,300,900
21,CUST021,2023-01-14 00:00:00,50,Female,Beauty,1,500,500
22,CUST022,2023-10-15 00:00:00,18,Male,Clothing,2,50,100
23,CUST023,2023-04-12 00:00:00,35,Female,Clothing,4,30,120
24,CUST024,2023-11-29 00:00:00,49,Female,Clothing,1,300,300
25,CUST025,2023-12-26 00:00:00,64,Female,Beauty,1,50,50
26,CUST026,2023-10-07 00:00:00,28,Female,Electronics,2,500,1000
27,CUST027,2023-08-03 00:00:00,38,Female,Beauty,2,25,50
28,CUST028,2023-04-23 00:00:00,43,Female,Beauty,1,500,500
29,CUST029,2023-08-18 00:00:00,42,Female,Electronics,1,30,30
30,CUST030,2023-10-29 00:00:00,39,Female,Beauty,3,300,900
31,CUST031,2023-05-23 00:00:00,44,Male,Electronics,4,300,1200
32,CUST032,2023-01-04 00:00:00,30,Male,Beauty,3,30,90
